250_c2_r3,1000_c2_r3,5000_c2_r4
NaN,NaN,NaN
NaN,NaN,NaN
2.220446e-16,NaN,NaN
2.220446e-16,NaN,NaN
2.220446e-16,NaN,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.220446e-16,0,0
2.19736483478705e-16,0,0
2.05800264898252e-16,0,0
1.91864046317799e-16,0,0
1.77927827737346e-16,0,0
1.63991609156893e-16,0,0
1.50055390576439e-16,0,0
1.36119171995986e-16,0,0
1.22182953415533e-16,0,0
1.0824673483508e-16,0.00362998035324082,0
9.43105162546266e-17,0.025835174137816,0
8.03742976741734e-17,0.10028009536898,0
6.64380790937202e-17,0.0553805220077851,0
5.2501860513267e-17,0.0542193523793406,0
3.85656419328139e-17,0.0903981279678776,0
2.46294233523606e-17,0.126576903556415,0
1.06932047719074e-17,0.144692620876401,0
2.93415552597644e-18,0.14364900608641,0
1.5543115947699e-17,0.142605391296418,0
2.81520763694215e-17,0.125263499301614,0
4.0761036791144e-17,0.0636260717389351,0.0271796004407334
5.33699972128665e-17,0.0622345813911695,0.0464636219663776
6.5978957634589e-17,0.0395316051429693,0.0464610351999786
7.85879180563115e-17,0.0163290337317151,0.104663667433685
9.11968784780339e-17,0.00512296121037147,0.172566458069523
1.03805838899756e-16,0.0113846628184519,0.230026074165786
1.16414799321479e-16,0.0176463644265323,0.236469324947642
1.29023759743201e-16,0.0208906577901695,0.261064819713311
1.41632720164924e-16,0.0234997030834798,0.344713635009065
1.54241680586646e-16,0.0543545168399916,0.449187084657641
1.66850641008369e-16,0.274005079597479,0.519922295888928
1.79459601430091e-16,0.607497026598488,0.520884366596092
1.92068561851814e-16,0.776563340409074,0.526767471599382
2.04677522273536e-16,0.8348946,0.54628575844904
2.17286482695259e-16,0.8348946,0.564378778860848
2.220446e-16,0.8348946,0.568159178947899
2.220446e-16,0.8348946,0.567673761616603
2.220446e-16,0.807167010656227,0.567188344285307
2.220446e-16,0.769074953473646,0.547901895850621
2.220446e-16,0.20909083225504,0.525846956070596
2.220446e-16,0.0381968543831477,0.546136576129926
2.220446e-16,0.0221350457360416,0.681941666983325
2.220446e-16,0.0245678096812277,0.757133949352179
2.220446e-16,0.0243780607739002,0.758417293824145
2.220446e-16,0.0241883118665727,0.756994692520003
2.220446e-16,0.0239985629592452,0.755058849756543
2.220446e-16,0.0238088140519177,0.756157031049069
0.0657892308086128,0.0236190651445902,0.758563734388637
0.0679653349475537,0.0234293162372627,0.758314269612773
0.0681455220825781,0.0675496568520252,0.755894314410586
0.0648813814441625,0.197909197465848,0.755449106563332
0.373056210086242,0.632946240170693,0.757855779560409
0.999993157323692,0.996528099558387,0.759706086266365
0.999449137900219,0.998615335815786,0.759979256597856
0.998905118476746,0.998946135322486,0.760252426929347
0.998361099053273,0.995815261424628,0.760525597260838
0.996265203839925,0.957037432067711,0.997344982062282
0.993363735238019,0.774435965353423,0.99927046351801
0.959853694448712,0.773044467410429,0.998085564225255
0.650959229968281,0.297299556068221,0.995762472059232
0.305219069120484,0.0795814393335296,0.992455421249376
0.157244537355843,0.0331411166121926,0.972387998061321
0.0976095748549862,0.0143560102282658,0.952320574873266
0.0614623067422963,0.00209114110691154,0.950079222678695
0.0233804456573542,0.00139539419034578,0.948972558123765
0.00173896740468621,0.000699647273780024,0.947865893568835
0.00154114062721104,3.90035721425555e-06,0.68241783334114
0.00134331384973586,0.0110694920961954,0.565275421785932
0.00114548707226069,0.0307581747823747,0.563339613511394
0.000947660294785523,0.10131710155997,0.519814120774493
0.000749833517310348,0.308648946706113,0.521258069005592
0.000552006739835177,0.444824238943117,0.510988818434456
0.000354179962360006,0.44847775,0.416778898255913
0.000156353184884835,0.44847775,0.322568978077369
2.220446e-16,0.44840456065709,0.466299068167883
2.220446e-16,0.447882748715624,0.346579397634544
2.220446e-16,0.447360936774157,0.281674421118149
2.220446e-16,0.212007535477119,0.280222408341221
2.220446e-16,0.0351521744556574,0.2502698689316
2.220446e-16,0.0212675586253558,0.158211894337277
2.220446e-16,0.0233547991076775,0.139993250405384
2.220446e-16,0.0222055039305645,0.148123715796735
2.220446e-16,0.0209531626175754,0.187153865837321
2.220446e-16,0.0169950329747756,0.18779453569378
2.220446e-16,0,0.188122584642757
2.220446e-16,0,0.187800406854877
2.220446e-16,0,0.187025146603623
2.220446e-16,0.0094388925864017,0.18624988635237
2.220446e-16,0.0221867786662318,0.142269719011512
2.220446e-16,0.0420154485520809,0.140978887211958
2.220446e-16,0.0618441184379303,0.0830769032898927
2.220446e-16,0.168023664251526,0.0469228227617398
2.220446e-16,0.265160035751676,0.046276396713636
2.220446e-16,0.267943029003117,0.0456299706655322
2.220446e-16,0.2680035048029,0.0449323275127724
2.220446e-16,0.265394456138971,0.0441570689597735
2.220446e-16,0.225895723808256,0.0433818104067746
2.220446e-16,0.0818764567720181,0.0445457286539206
2.220446e-16,0.021077283,0.0464711982145465
2.220446e-16,0.021077283,0.045641839111325
2.220446e-16,0.0196838416076275,0.0427374449968053
2.220446e-16,0.0155093617023774,0.0427362030982647
2.220446e-16,0.0113348817971274,0.0449251760690983
2.220446e-16,0.00716040189187734,0.0440946907284854
2.220446e-16,0.00298592198662729,0.0432642053878726
2.220446e-16,0,0.0424337200472598
2.220446e-16,0,0.0430339394354954
2.220446e-16,0,0.0445742115828664
